ciudad,centro,direccion,horario,web,despachos_m2,capacidad_salas,servicios,notas,activo
Madrid,Velázquez,"Calle Velázquez 86B, planta baja, 28006 Madrid",Recepcion L-J 9:00-14:00 y 14:30-18:00. V 9:00-17:00 ; acceso clientes 24/7,https://www.oficinasya.es/madrid-salamanca-velazquez-alquiler-despachos-oficinas-velazquez/,11 a 39 m2,10 pax,"despachos, salas de reuniones, smart office, bonos de horas",Barrio de Salamanca. Horario reducido del 15/6 al 15/9.,si
Madrid,Gasset,"Calle José Ortega y Gasset 25, planta baja, 28006 Madrid",Recepcion L-J 9:00-14:00 y 14:30-18:00. V 9:00-17:00 ; acceso clientes 24/7,https://www.oficinasya.es/madrid-salamanca-gasset-alquiler-despachos-oficinas-gasset/,13 a 39 m2,hasta 25 pax,"despachos, salas de reuniones, smart office, bonos de horas",Barrio de Salamanca. Sala con pantalla y proyector.,si
Madrid,Serrano,"Calle Serrano 93, 3º E, 28006 Madrid",Recepcion L-J 9:00-14:30 y 15:00-18:00. V 9:00-17:00; acceso clientes 24/7,https://www.oficinasya.es/madrid-salamanca-serrano-alquiler-despachos-oficinas-serrano/,6 a 38 m2,8 pax,"despachos, salas de reuniones, smart office, bonos de horas",Barrio de Salamanca. Verano 9:00-16:00.,si
Madrid,Capitán Haya,"Calle Poeta Joan Maragall 60, 2ª planta, 28020 Madrid",Recepción L-V 9:00-15:00; clientes acceso 24/7,https://www.oficinasya.es/madrid-castellana-capitan-haya-alquiler-despachos-oficinas-plaza-castilla/,14 a 49 m2,hasta 50 pax,"despachos, salas de reuniones, smart office, bonos de horas",Zona Castellana / Plaza Castilla. La sala mas grande de Madrid.,si
Madrid,Las Tablas,"Calle Isabel Colbrand 6, planta 5, Madrid 28050",Recepción L-V 9:00-15:00; clientes acceso 24/7,https://www.oficinasya.es/madrid-norte-las-tablas-alquiler-despachos-oficinas-las-tablas/,17 a 62 m2,8 pax,"despachos, salas de reuniones, smart office, bonos de horas",Madrid norte.,si
Madrid,Sanse (San Sebastián de los Reyes),"Calle Fuerteventura 4, planta baja, oficina 1, 28701 San Sebastián de los Reyes",Recepción L-V 9:00-15:00; clientes acceso 24/7,https://www.oficinasya.es/madrid-san-sebastian-los-reyes-alquiler-despachos-oficinas-san-sebastian-los-reyes/,15 a 37 m2,16 pax,"despachos, salas de reuniones, smart office, bonos de horas",Unico centro con la oferta anual de Smart Office.,si
Madrid,La Florida (Pozuelo),"Calle Gobelas 17, planta baja, 28023 Madrid",Recepción L-V 9:00-15:00; clientes acceso 24/7,https://www.oficinasya.es/madrid-pozuelo-la-florida-alquiler-despachos-oficinas-la-florida/,10 a 69 m2,10 pax,"despachos, salas de reuniones, smart office, bonos de horas",Pozuelo de Alarcon.,si
Madrid,Manoteras (Sanchinarro),"Avenida de Manoteras 22, 3ª planta, oficina 111, Madrid 28050","Centro autónomo, acceso 24/7",,10 a 40 m2,10 pax,"despachos, salas de reuniones, smart office, bonos de horas, lofts",Espacios tipo loft. Acceso 24h.,si
Albacete,Calle Mayor,"Calle Mayor 22, entreplanta, 02001 Albacete","Centro autónomo, acceso 24/7",https://www.oficinasya.es/albacete-alquiler-de-despachos-y-oficinas-en-albacete/,10 a 47 m2,16 pax,"despachos, salas de reuniones, smart office",Posibilidad de sala por media jornada. Paquetes de horas de sala.,si
Alicante,Plaza de la Muntanyeta,"Plaza de la Muntanyeta 4, entreplanta, 03001 Alicante",Recepción L-V 9:00-19:00,https://www.oficinasya.es/alicante-alquiler-despachos-oficinas-alicante/,12 a 20 m2,18 y 10 pax,"despachos, salas de reuniones, smart office",Pack smart office ampliado.,si
Barcelona,Mitre 126,"Ronda General Mitre 126, Barcelona",Recepción L-J 9:00-14:00 y 15:00-18:00. V hasta 15:00,https://www.oficinasya.es/barcelona-alquiler-de-despachos-y-oficinas-en-barcelona-ii/,,"2, 4, 10 y 20 pax","despachos, salas de reuniones, smart office",,si
Barcelona,Raset 29,"Carrer de Raset 29, Sarrià-Sant Gervasi, 08021 Barcelona",Recepción L-J 9:00-14:00 y 15:00-18:00. V hasta 15:00,https://www.oficinasya.es/barcelona-alquiler-de-oficinas-y-despachos-en-barcelona-sant-gervasi/,12 a 26 m2,"2, 4 y 8 pax","despachos, salas de reuniones, smart office",,si
Barcelona,Plaza Urquinaona,"Plaza de Urquinaona 6, planta 8, 08010 Barcelona",Recepción L-J 9:00-14:00 y 15:00-18:00. V hasta 15:00,https://www.oficinasya.es/barcelona-alquiler-de-oficinas-y-despachos-en-barcelona-plaza-urquinaona/,8 a 30 m2,,"despachos, salas de reuniones, smart office, coworking",,si
Bilbao,Máximo Aguirre,"Máximo Aguirre 12, 1º Dcha, 48011 Bilbao",Recepción L-J 9:00-14:00 y 15:30-19:00. V 9:00-14:00 y 15:00-18:00,https://www.oficinasya.es/bilbao-maximo-aguirre-alquiler-de-despachos-y-oficinas-en-bilbao/,12 a 27 m2,10 pax,"despachos, salas de reuniones, smart office",Uso minimo de 2 horas en salas y despachos.,si
Bilbao,Edificio Albia,"San Vicente 8, 6ª planta, dpto. 8, Edificio Albia I, 48001 Bilbao",Recepción L-J 9:00-14:00 y 15:30-19:00. V 9:00-14:00 y 15:00-18:00,https://www.oficinasya.es/bilbao-albia-alquiler-de-despachos-y-oficinas-en-bilbao/,15 a 40 m2,27 pax,"despachos, salas de reuniones, smart office",Uso minimo de 2 horas en salas y despachos.,si
